Email,Exam,Exam_num,Exam_Score,Start.Date,HAVING.READ.THE.INFORMATION.PROVIDED..YOU.MUST.DECIDE.WHETHER.OR.NOT.YOU.WISH.TO.PARTICIPATE.IN.THIS.RESEARCH.STUDY..CLICKING.�..I.CONSENT�...SHOWS.YOUR.WILLINGNESS.TO.PARTICIPATE.,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Selected.Choice,Have.you.had.any.of.the.following.technical.challenges.with.this.online.proctored.exam..Select.all.that.apply....Other..Fill.in.the.blank....Text,Please.explain.your.greatest.concern.regarding.taking.today.s.online.proctored.exam.,How.concerned.are.you.about.the.concern.you.just.wrote.about....Selected.Choice,How.concerned.are.you.about.the.concern.you.just.wrote.about....Other...Text,When.taking.this.exam.remotely.with.online.proctoring..e.g..LockDown.browser.and.webcam...what.percentage.of.your.classmates.do.you.believe.were.cheating....Percent.of.students.cheating,Proctoring.SS,Score.SS,Anxiety.SS,Study.SS,ClassStudy.SS,ST1Q01,ST1Q02,ST1Q03,ST1Q04,ST1Q05,Did_not_study,Stuided_less,Studied_same,Understanding,Less_anxious,Prepared_Notes,No_Notes,Studied_more,External_resources,FinalExam,FinalGrade
73,Exam 1,1,48,2/9/2021 8:09,I CONSENT,,,paying $15,Moderately concerned,,1,Made it much more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-2,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,64.4,82.3
74,Exam 1,1,64,2/9/2021 9:15,I CONSENT,,,,Not all at that concerned,,1,Made it much more difficult for other students to cheat,Slightly decreased my exam score,No Effect,Slightly Less,Slightly less for this exam,-2,-1,0,-1,-1,0,1,0,0,0,0,0,0,0,42.2,68.63
75,Exam 1,1,60,2/9/2021 8:26,I CONSENT,,,15 dollar fee!!!,Moderately concerned,,5,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,1,-2,-2,-2,0,1,0,0,0,0,0,0,0,55.6,80.23
76,Exam 1,1,52,2/10/2021 0:12,I CONSENT,Other. Fill in the blank.,Wasn't aware of having to purchase,I used my notes and still bombed so I'm scared.,Very concerned,,1,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,-2,1,-2,-2,-2,0,0,0,0,0,1,0,0,0,48.9,75.74
77,Exam 1,1,62,2/9/2021 7:48,I CONSENT,,,"I know we are allowed to use our notes while taking the exam, but I am worried I will be ""flagged"" for cheating because of it. ",Slightly concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-2,1,-2,-1,-2,0,0,0,1,0,0,0,0,0,71.1,86.58
78,Exam 1,1,50,2/9/2021 9:10,I CONSENT,,,"I payed, as the syllabus stated, and took the exam on time with the correct proctoring. Then people complained because they hadn’t read the syllabus and got the test with extra time and without any proctoring. As I was taking the test when the emails were sent out I wasn’t aware of this",Very concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-2,1,-2,0,-1,0,0,0,0,0,0,0,0,0,73.3,90.57
79,Exam 1,1,74,2/9/2021 8:24,I CONSENT,Internet connection was too slow,,,Not all at that concerned,,4,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-2,1,-2,0,-1,0,0,0,0,0,1,0,0,0,60,83.95
80,Exam 1,1,72,2/9/2021 7:35,I CONSENT,,,Loss of internet connection.,Slightly concerned,,10,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Slightly Less,Slightly less for this exam,-2,1,0,-1,-1,0,1,0,0,0,1,0,0,0,73.3,85.19
81,Exam 1,1,74,2/9/2021 8:35,I CONSENT,,,not concerned. I wish i was informed that i had to pay for respondus even though its free and had been used by me in other exams. ,Moderately concerned,,4,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,Slightly less for this exam,-2,1,0,0,-1,0,0,1,0,0,0,0,0,0,57.8,79.34
82,Exam 1,1,0,2/10/2021 10:04,I CONSENT,"Internet connection was too slow,Proctoring software disconnected,Other. Fill in the blank.",Did not allow me to take the test,Not being let into the exam on time.,Very concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,No Effect,Same Amount,The same amount,-2,1,0,0,0,0,0,0,1,0,0,0,0,0,62.2,87.8
83,Exam 1,1,74,2/9/2021 8:51,I CONSENT,,,"I and majority of the class was not aware we would have to be paying for the exam, but other than that, it went fine.",Slightly concerned,,25,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Much less for this exam,-2,1,1,-1,-2,0,0,0,1,0,0,0,0,0,62.2,81.96
84,Exam 1,1,56,2/9/2021 8:00,I CONSENT,Other. Fill in the blank.,proctoring software would not run properly,none,Not all at that concerned,,0,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Much less for this exam,-2,1,1,-1,-2,0,1,0,0,0,0,0,0,0,44.4,56.52
85,Exam 1,1,58,2/9/2021 9:10,I CONSENT,,,The people who paid for the proctor like myself did not check the emails saying this test was not going to be monitored through a proctor. ,Very concerned,,3,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Raised,Slightly Less,Slightly less for this exam,-2,1,1,-1,-1,0,1,0,0,0,0,0,0,0,57.8,75.52
86,Exam 1,1,40,2/9/2021 9:36,I CONSENT,Other. Fill in the blank.,I can not see some pictures,it was hard work and it spent my money,Moderately concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Much Less,Much more for this exam,-2,1,-1,-2,2,0,0,0,0,0,0,0,0,0,42.2,69.48
87,Exam 1,1,52,2/9/2021 8:19,I CONSENT,,,none,Not all at that concerned,,8,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much less for this exam,-2,1,-1,-1,-2,0,0,0,0,0,1,0,0,0,37.8,73.58
88,Exam 1,1,70,2/9/2021 8:12,I CONSENT,,,,Slightly concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,The same amount,-2,1,-1,-1,0,0,0,1,0,0,0,0,0,0,73.3,83.57
89,Exam 1,1,74,2/9/2021 8:24,I CONSENT,Other. Fill in the blank.,Would not accept card payment for webcam using PayPal,Paying $15 using PayPal that did not work.,Very concerned,,0,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,64.4,82.08
90,Exam 1,1,68,2/9/2021 8:44,I CONSENT,,,,Not all at that concerned,,9,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,57.8,81.77
91,Exam 1,1,50,2/9/2021 17:23,I CONSENT,Internet connection was too slow,,I felt very anxious about the test because even with my notes I had a really hard time comprehending a lot of the questions and felt like I had to take many educational guesses.,Very concerned,,NA,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-2,1,-1,0,0,0,1,0,0,0,0,0,0,0,55.6,76.62
92,Exam 1,1,68,2/9/2021 9:26,I CONSENT,"Internet connection was too slow,Video could not detect my face,Proctoring software incompatibility with my computer / VPN,Am not familiar with how the software works,Proctoring software locked down when another person entered the room for a non-cheating incident",,VPN connection,Very concerned,,21,Made it much more difficult for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,The same amount,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,71.1,87.08
93,Exam 1,1,66,2/9/2021 8:17,I CONSENT,,,"I didn't have a problem, but I am a little upset that not everyone had to take it with the proctoring after I payed and started when I was supposed to",Moderately concerned,,40,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Much less for this exam,1,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,55.6,80.84
94,Exam 1,1,82,2/9/2021 7:52,I CONSENT,"Internet connection was too slow,Am not familiar with how the software works",,"paying $15 to take the exam, when Honorlock is free",Very concerned,,16,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,1,2,-2,-1,-2,0,1,0,0,0,0,0,0,0,75.6,89.59
95,Exam 1,1,88,2/9/2021 10:07,I CONSENT,,,Having to spend $15 on lockdown browser when Honorlock is the same thing and free.,Slightly concerned,,25,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,82.2,92.42
96,Exam 1,1,74,2/9/2021 12:46,I CONSENT,,,"My internet connection worked well today, but it has been prone to randomly cut out for 1-3 hour periods, and even sometimes within the span of just 20-30 minutes. Luckily this has typically only happened throughout various lecture periods this semester, so I'm able to call in to the audio with my phone and keep up, but a friend of mine recently lost his internet during a proctored exam and his grade was instantly dropped to a zero. Professor Adhikari is the man and had no problem helping get him a retake, but it still took 3 days to get everything settled out between the software and scheduling before the 'crisis' was amended. I don't think this is a terrible worry for me though as I'd hope there would be understanding in this event, but it's still one of those baseless anxieties that always comes about during proctored exams, compared to that of a simple lockdown browser (where you can still log back in to finish your attempt), or zoom? I guess? My poor little internet just loves to fall apart if I have to maintain a video connection for more than 30 minutes. This is tough for y'all though, so I really appreciate you taking the time to gather this feedback, and I respect whatever decision you make. That being said, I hope you have a great day! Be sure to grab yourself a glass of wine after reading all this mess!",Moderately concerned,,60,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Much less for this exam,1,2,-2,1,-2,0,0,0,0,0,0,0,0,0,42.2,74.66
97,Exam 1,1,76,2/9/2021 8:16,I CONSENT,,,paying $15 to use lockdown browser when we could have used honorlock for free,Moderately concerned,,40,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,0,0,0,1,0,0,0,71.1,89.2
98,Exam 1,1,84,2/9/2021 8:39,I CONSENT,,,i had to pay for it and i'm kinda broke. ,Not all at that concerned,,6,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,1,2,-2,0,-1,0,0,1,0,1,0,0,0,0,64.4,86.54
99,Exam 1,1,86,2/9/2021 7:53,I CONSENT,,,lockdown glitches or interntet problems,Slightly concerned,,5,Made it slightly easier for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,1,2,-2,0,0,0,0,1,0,0,0,0,0,0,91.1,93.64
100,Exam 1,1,66,2/9/2021 9:10,I CONSENT,Am not familiar with how the software works,,,Not all at that concerned,,14,Made it slightly easier for other students to cheat,Greatly improved my exam score,No Effect,Slightly Less,Slightly more for this exam,1,2,0,-1,1,0,0,0,0,0,0,0,0,0,66.7,85.6
101,Exam 1,1,80,2/9/2021 8:35,I CONSENT,,,I did not know how to prepare! ,Moderately concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,1,2,-1,-2,-2,0,0,0,0,0,0,0,0,1,73.3,89.73
102,Exam 1,1,86,2/9/2021 8:40,I CONSENT,Other. Fill in the blank.,Had to pay $15,"After I already paid for and started my exam, the instructor sent out an email saying that it was not required for this test...",Slightly concerned,,29,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Much Less,Much less for this exam,1,2,-1,-2,-2,0,0,0,0,0,1,0,0,0,75.6,90.16
103,Exam 1,1,68,2/9/2021 8:34,I CONSENT,Other. Fill in the blank.,I didn't like having to pay to use it,"The test proctoring was very simple. I just didn't like having to pay for it, and online exams have always been more challenging for me ",Moderately concerned,,15,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,2,-1,-1,-1,0,0,0,1,0,1,0,0,0,73.3,83.69
104,Exam 1,1,74,2/9/2021 8:01,I CONSENT,Am not familiar with how the software works,,Wasn't aware we had to pay.,Moderately concerned,,19,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Much less for this exam,1,2,-1,0,-2,0,0,0,1,0,0,0,0,0,64.4,80.74
105,Exam 1,1,84,2/9/2021 8:54,I CONSENT,,,"I feel like Honorlock would have been a better software to use, especially since it's free.",Moderately concerned,,10,Made it slightly easier for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,1,2,-1,0,0,0,1,0,0,0,0,0,0,0,53.3,81.94
106,Exam 1,1,56,2/9/2021 8:03,I CONSENT,,,If it disconected during an exam I was taking,Moderately concerned,,20,Made it slightly easier for other students to cheat,Had no effect on my exam score,Slightly Reduced,Much Less,Much less for this exam,1,0,-1,-2,-2,0,1,0,0,0,0,0,0,0,60,78.57
107,Exam 1,1,66,2/9/2021 8:35,I CONSENT,Other. Fill in the blank.,Proctoring Fee,"I did not realize we had a fee to pay before the exam, and I was not prepared.",Slightly concerned,,NA,Made it slightly easier for other students to cheat,Had no effect on my exam score,Slightly Reduced,Much Less,Much less for this exam,1,0,-1,-2,-2,0,1,0,0,1,0,0,0,0,64.4,73.06
108,Exam 1,1,72,2/9/2021 8:39,I CONSENT,,,i was no aware i needed to pay for the webcam in my computer. It waas unexpected to happen right before the exam. ,Very concerned,,40,Made it slightly easier for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,1,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,73.3,90.79
109,Exam 1,1,76,2/9/2021 8:54,I CONSENT,,,none,Not all at that concerned,,16,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Much Less,Much less for this exam,1,1,-2,-2,-2,0,1,0,1,0,0,0,0,0,55.6,81.38
110,Exam 1,1,54,2/9/2021 8:06,I CONSENT,"Video could not detect my face,Proctoring software disconnected,Am not familiar with how the software works",,"The proctoring picking up cheating even when I am not participating in that action. 
Losing internet connection in the middle of the exam.",Moderately concerned,,5,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,1,-2,-1,-1,0,0,0,0,0,1,0,0,0,57.8,77.57
111,Exam 1,1,88,2/9/2021 7:43,I CONSENT,,,"Background noise being percieved as cheating
",Slightly concerned,,53,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,1,1,-2,-1,-1,0,0,0,1,0,0,0,0,0,80,89.78
112,Exam 1,1,90,2/9/2021 8:12,I CONSENT,"Internet connection was too slow,Other. Fill in the blank.",,"that wifi would go out and kick me out, it wouldnt let me get in, or i would be flagged unnecessarily ",Moderately concerned,,10,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Much less for this exam,1,1,-2,0,-2,0,0,0,0,0,1,0,0,0,80,92.4
113,Exam 1,1,74,2/9/2021 9:01,I CONSENT,"Proctoring software disconnected,Proctoring software incompatibility with my computer / VPN,Other. Fill in the blank.",Couldn't purchase the $15 camera attachment through the iPad app,I couldn't get the program to work,Very concerned,,30,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Much less for this exam,1,1,-2,0,-2,0,0,0,0,1,1,0,0,0,62.2,65.22
114,Exam 1,1,40,2/9/2021 8:46,I CONSENT,,,"Not realizing that we had to pay to take the exam, which really stressed me out. then come to find out after I paid that others di not have to pay and got to take it without a webcam. I fell as though I would have done better if this incident di not happen right before the test. And the fact that we had to pay for a lockdown browser when there are free ones out there we could have used with no issues. ",Moderately concerned,,9,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Slightly Less,Much more for this exam,1,1,-1,-1,2,0,1,0,0,0,1,0,0,0,46.7,80.39
115,Exam 1,1,98,2/9/2021 7:48,I CONSENT,,,No concerns ,Not all at that concerned,,10,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Much less for this exam,1,1,-1,0,-2,0,0,0,1,0,0,0,0,0,95.6,97.96
116,Exam 1,1,82,2/9/2021 9:21,I CONSENT,"Proctoring software incompatibility with my computer / VPN,Am not familiar with how the software works",,was not aware I was going to have to pay $15 right before the exam started.,Moderately concerned,,39,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,1,1,-1,0,-1,0,0,1,0,0,0,0,0,0,77.8,88.14
117,Exam 1,1,68,2/9/2021 8:20,I CONSENT,,,Lack of communication between admin/students.,Moderately concerned,,15,Made it slightly easier for other students to cheat,Slightly Improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,1,1,-1,0,-1,0,0,0,0,0,0,0,0,0,46.7,74.56
118,Exam 1,1,74,2/9/2021 8:23,I CONSENT,Other. Fill in the blank.,"It took at least 20 minutes to finally accept my credit card information. It kept saying ""things aren't working at the moment.""",I lost so much time with trying to figure out how to pay. I had to use two different cards even though both had ample money on them. It was odd. ,Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much Less,Slightly less for this exam,-1,2,-2,-2,-1,0,1,0,0,0,0,0,0,0,75.6,86.79
119,Exam 1,1,60,2/9/2021 8:04,I CONSENT,Am not familiar with how the software works,,,Slightly concerned,,50,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Much More,Slightly more for this exam,-1,2,-2,2,1,0,0,0,0,0,0,0,0,0,55.6,74.4
120,Exam 1,1,88,2/9/2021 7:49,I CONSENT,Other. Fill in the blank.,"Didn't know about payment before test so had to run and get my debit card to pay before, resulting in loss of a few minutes","Before I was able to take the exam, I had to pay for the webcam. I didn't know this would popup now and wish it could've been purchased before hand to keep from becoming a distractant and taking time",Moderately concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-1,2,-2,-1,-2,0,0,0,1,0,1,0,0,0,80,90.65
77,Exam 1,1,62,2/21/2021 13:40,I CONSENT,Proctoring software disconnected,,I was worried my building would have a fire alarm during the test or the wifi would cut out. ,Slightly concerned,,20,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Much less for this exam,-1,2,-2,-1,-2,0,0,0,1,0,0,0,0,0,71.1,86.58
121,Exam 1,1,60,2/9/2021 9:20,I CONSENT,"Proctoring software disconnected,Am not familiar with how the software works",,unknown fee,Very concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,44.4,77.24
122,Exam 1,1,88,2/9/2021 8:11,I CONSENT,,,That it would disconnect/ot register my face,Slightly concerned,,1,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,66.7,84.23
123,Exam 1,1,92,2/9/2021 7:45,I CONSENT,,,"I did not know about the PayPal expense at the beginning of the exam. However, I paid and took the exam immediately. Once I finished the exam, there was an announcement saying that we will not use lockdown for this exam even though I had already finished. ",Very concerned,,3,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,1,0,0,0,0,0,91.1,94.51
124,Exam 1,1,66,2/9/2021 8:37,I CONSENT,,,,Other,I had no concerns,5,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly Less,Slightly less for this exam,-1,2,-2,-1,-1,0,0,0,0,0,1,0,0,0,62.2,82.96
125,Exam 1,1,94,2/9/2021 8:51,I CONSENT,Internet connection was too slow,,"My internet is just kind of bad at my apartment, but other than that no concerns:)",Slightly concerned,,29,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly less for this exam,-1,2,-2,1,-1,0,0,0,1,1,1,0,0,0,84.4,91.26
126,Exam 1,1,92,2/9/2021 8:41,I CONSENT,Am not familiar with how the software works,,"I had to pay for lockdown, and then took my exam on lockdown. All my other classmates did not have to use lockdown.",Very concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Slightly More,Slightly less for this exam,-1,2,-2,1,-1,0,0,0,0,0,0,0,0,0,93.3,96.72
127,Exam 1,1,92,2/9/2021 7:58,I CONSENT,,,"I did not have any concerns with the proctoring system, but I am curious on why we had to pay $15 to download an anti-cheating software when many of us already have Honorlock (the same thing but is free).",Moderately concerned,,4,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Much less for this exam,-1,2,-2,0,-2,0,0,0,0,0,0,0,0,1,75.6,89.53
128,Exam 1,1,92,2/9/2021 7:55,I CONSENT,,,"The test said it detected my wifi was slow initially, but I had no problems while taking the test with internet connection.",Not all at that concerned,,5,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-1,2,-2,0,-1,0,0,1,0,0,0,0,0,0,86.7,93.77
129,Exam 1,1,62,2/9/2021 8:06,I CONSENT,,,None,Not all at that concerned,,7,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,0,0,0,1,0,0,0,66.7,81.57
130,Exam 1,1,80,2/9/2021 8:17,I CONSENT,,,"I have a roomate, so I am worried about taking the test with her in there or if something makes noise. ",Slightly concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Greatly Reduced,Same Amount,The same amount,-1,2,-2,0,0,0,0,0,1,1,0,0,0,0,64.4,86.81
131,Exam 1,1,66,2/9/2021 8:40,I CONSENT,Other. Fill in the blank.,I had to pay to take my exam.,,Very concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,No Effect,Same Amount,The same amount,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,60,80.94
132,Exam 1,1,60,2/9/2021 9:12,I CONSENT,,,None besides the lockdown which has already been handled.,Not all at that concerned,,4,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Slightly Less,Slightly less for this exam,-1,2,-1,-1,-1,0,1,0,0,0,0,0,0,0,60,80.98
133,Exam 1,1,78,2/9/2021 18:54,I CONSENT,,,I did bad,Slightly concerned,,0,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,2,-1,0,-1,0,1,0,0,0,0,0,0,0,84.4,89.6
134,Exam 1,1,36,2/9/2021 7:58,I CONSENT,,,"I feel it would've gone better if everyone was required to use the browser instead of only the people who were willing to pay today. I feel it is rather unfair in a way. I paid to take it today, then when I finished I see the messages that the browser restrictions have been removed and some people did not have to use it and pay today. ",Moderately concerned,,10,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,2,-1,0,-1,0,0,0,0,0,0,0,0,0,46.7,74.55
135,Exam 1,1,60,2/9/2021 8:37,I CONSENT,Internet connection was too slow,,"I understand the syllabus said we had to pay for the lockdown browser webcam, but when we asked about it in zoom class they said we did not have to pay. As well I don't see why we had to pay the extra for this when honorlock is the exact same thing but free. ",Moderately concerned,,1,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,2,-1,0,-1,0,0,1,0,0,1,0,0,0,37.8,73.16
136,Exam 1,1,62,2/9/2021 8:35,I CONSENT,Other. Fill in the blank.,had to pay for proctoring then didnt have to use it,,Very concerned,,21,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,0,0,0,0,0,0,0,62.2,65.21
137,Exam 1,1,0,2/9/2021 11:34,I CONSENT,Other. Fill in the blank.,I had to wait for my computer to update and took the test late,Running out of time.,Moderately concerned,,5,Made it slightly more difficult for other students to cheat,Greatly improved my exam score,Slightly Reduced,Same Amount,The same amount,-1,2,-1,0,0,0,0,0,1,0,0,0,0,0,64.4,57.42
138,Exam 1,1,54,2/9/2021 7:47,I CONSENT,,,"My greatest concern has nothing to do with the proctoring, but I suck at biology and so I bombed the exam. ",Moderately concerned,,NA,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,No Effect,Slightly Less,Slightly less for this exam,-1,0,0,-1,-1,0,0,1,0,0,0,0,0,0,57.8,77.53
139,Exam 1,1,46,2/9/2021 8:15,I CONSENT,Other. Fill in the blank.,We had to pay and it was very stressful as I was not expecting to have to pay right before my exam.,I was unable to start my exam without paying. i had to use my personal money and was not sure if I was doing it right. This caused test anxiety and I thought I had to pay so I started the test before seeing that we did not have to use a lockdown browser this time. I believe this affected my performance and I really hope i can somehow make this up.,Very concerned,,NA,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,No Effect,Slightly Less,Slightly less for this exam,-1,0,0,-1,-1,0,0,0,0,0,1,0,0,0,66.7,87.58
140,Exam 1,1,94,2/9/2021 8:19,I CONSENT,Am not familiar with how the software works,,Not much of a concern but it was getting the access code to get into the software. I read  an Email that told me to buy it and I had my concerns fixed.,Not all at that concerned,,10,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,No Effect,Same Amount,Slightly less for this exam,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,68.9,85.82
141,Exam 1,1,68,2/9/2021 8:35,I CONSENT,,,I took it too lightly,Very concerned,,5,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,0,-1,-2,-2,1,0,0,0,0,0,0,0,0,75.6,87.06
142,Exam 1,1,64,2/9/2021 8:13,I CONSENT,,,"I have a roommate and I was worried she would make my test be flagged. Also, the $15. This was unexpected at the exact moment and I am broke. Usually with honorlock, the bookstore takes care of it and it costs $0 out of pocket. If nothing else, this needs to be put on our e-bill.",Very concerned,,40,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Much Less,Much less for this exam,-1,0,-1,-2,-2,1,0,0,0,0,1,0,0,0,57.8,74.74
143,Exam 1,1,40,2/9/2021 9:44,I CONSENT,"Internet connection was too slow,Am not familiar with how the software works",,,Slightly concerned,,NA,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Slightly More,The same amount,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,40,60.55
144,Exam 1,1,78,2/9/2021 8:16,I CONSENT,Other. Fill in the blank.,Was not aware that we had to pay $15.,,Slightly concerned,,5,Made it slightly more difficult for other students to cheat,Had no effect on my exam score,Slightly Reduced,Same Amount,Slightly less for this exam,-1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,68.9,87.4
145,Exam 1,1,76,2/9/2021 9:15,I CONSENT,Other. Fill in the blank.,"I was unable to purchase access to the webcam in the lockdown browser because ""things don't appear to be working at the moment..""",I am concerned about whether or not the webcam will eventually work/be able to be purchased without issues because I will need it for our future exams in this class.,Moderately concerned,,15,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Raised,Slightly Less,Slightly less for this exam,-1,1,2,-1,-1,0,0,1,0,0,0,0,0,0,68.9,84.73
146,Exam 1,1,76,2/9/2021 8:51,I CONSENT,Internet connection was too slow,,would not allow me to complete my payment for the webcam; message said that payment was unable to process at that time and to try again later,Moderately concerned,,20,Made it slightly more difficult for other students to cheat,Slightly Improved my exam score,Greatly Reduced,Same Amount,Slightly less for this exam,-1,1,-2,0,-1,0,0,0,0,1,0,0,0,0,62.2,80.8
